age,gender,hand,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
17,2,1,1,5,2,5,1,4,1,4,1,5,5,3,5,3,2,5,3,3,4,3,2,4,2,4,1,5,1,4,3,3,3,4,3,4,1,5,3,3,3,3,5,3,5,3,4,1,3,5,4,5
15,1,1,3,3,5,3,3,3,2,4,3,3,1,5,3,3,2,3,2,3,2,4,4,4,2,2,5,5,2,5,4,4,3,3,4,3,3,5,3,3,3,4,3,1,4,1,4,5,4,3,4,5
22,2,1,3,3,4,2,4,2,2,3,4,3,3,3,3,3,2,2,4,4,2,3,1,4,1,5,1,5,2,4,5,4,4,2,4,2,3,4,4,1,5,4,3,2,4,2,3,2,3,3,5,4
21,2,1,1,3,2,5,1,1,1,5,1,5,5,3,5,2,5,5,3,2,5,3,1,1,1,4,2,3,5,4,4,2,5,2,5,1,3,2,5,2,4,4,3,1,3,3,4,1,4,3,5,4
28,2,1,3,3,3,4,3,2,2,4,3,5,2,4,4,4,4,4,2,2,3,2,1,4,2,4,2,4,2,4,3,4,4,2,4,2,4,2,4,2,4,4,3,2,4,3,4,2,4,2,4,4
21,1,1,2,3,2,3,3,1,1,3,4,4,2,4,2,4,1,2,2,2,2,2,4,2,4,2,5,2,5,2,1,2,4,2,4,1,3,2,4,1,4,5,4,1,5,1,5,1,4,4,5,5
19,2,1,1,3,2,4,2,4,1,4,3,4,4,2,3,2,1,3,1,2,2,3,4,2,3,1,4,1,5,3,1,1,4,3,5,2,2,4,3,1,3,5,5,1,4,1,4,1,5,5,5,4
21,2,1,4,1,5,2,5,1,5,3,5,1,5,2,5,2,3,3,3,3,4,2,1,5,2,5,2,5,1,5,5,3,3,4,3,3,1,1,3,3,4,3,3,1,3,3,3,3,5,4,3,3
26,2,3,2,3,4,3,1,4,1,4,1,5,4,2,5,2,1,4,2,2,2,2,2,2,2,2,2,5,2,4,2,3,4,1,5,1,4,2,5,1,5,4,4,1,4,2,4,2,5,3,2,2
26,2,1,2,2,3,3,3,3,1,3,3,3,4,4,3,1,3,2,2,2,4,4,1,3,2,4,3,2,3,3,4,4,1,2,5,2,2,1,4,2,2,2,4,2,5,2,2,1,5,3,4,4
19,2,1,1,4,2,5,3,4,2,4,3,3,4,4,4,4,4,4,5,5,4,2,4,5,1,5,2,4,1,4,5,3,2,3,4,5,3,4,2,1,1,5,5,3,5,2,4,1,4,3,4,4
29,2,1,2,3,4,2,4,1,3,4,2,3,1,2,2,3,2,1,2,1,2,2,2,4,3,3,1,2,2,4,2,3,4,3,5,1,4,2,4,1,3,4,5,1,4,1,4,1,5,4,4,4
29,2,1,2,3,1,4,2,4,1,3,3,4,3,3,5,2,3,3,4,3,3,3,1,4,1,4,2,4,3,5,4,3,4,2,4,2,4,1,5,2,4,4,4,2,5,3,4,2,3,4,5,3
21,1,2,3,3,4,3,4,3,3,3,4,3,3,4,3,5,3,2,2,2,2,2,1,4,2,4,2,5,2,4,4,3,3,4,5,3,2,4,3,2,4,3,3,2,4,2,4,2,5,2,5,3
52,2,1,3,4,4,4,2,3,3,3,4,5,4,4,4,3,2,2,3,2,1,3,1,4,1,5,3,3,3,3,4,4,3,5,4,3,1,5,4,4,2,4,4,3,4,4,4,2,4,4,5,4
19,2,1,1,3,2,4,2,3,3,2,2,5,5,4,4,3,2,3,1,1,3,3,5,4,1,5,1,3,1,4,5,4,4,1,5,2,1,4,3,1,2,4,3,5,5,1,4,1,5,3,3,5
48,1,1,5,5,4,1,5,1,5,1,5,2,3,4,4,5,3,3,4,3,3,2,4,5,4,4,4,4,1,2,4,5,2,5,2,5,1,5,3,3,5,5,4,1,5,1,5,1,4,4,2,5
22,1,1,3,3,4,3,2,2,3,4,2,4,4,3,4,3,2,2,3,3,2,2,1,2,1,3,2,4,2,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,2,3,2,4,3
17,2,1,2,4,3,4,2,2,4,5,1,5,5,4,5,1,3,4,5,4,4,4,3,5,5,4,1,5,1,4,2,3,2,5,3,4,1,2,2,5,3,1,4,3,3,1,4,2,3,3,5,5
37,1,1,3,3,3,3,2,2,4,2,3,4,1,3,4,5,2,3,1,1,2,1,1,4,3,4,3,3,2,4,4,4,4,1,4,2,4,1,2,3,2,4,3,2,4,3,4,2,4,3,4,3
19,2,1,4,2,1,5,4,1,3,3,1,5,4,4,5,2,2,4,4,3,4,4,2,5,4,5,2,5,2,4,5,4,1,1,3,5,1,4,3,1,1,3,3,3,5,3,3,1,3,3,3,5
22,2,1,2,3,3,4,3,2,4,5,2,4,5,3,5,2,2,2,3,2,3,3,2,3,2,4,3,3,3,4,5,5,3,4,5,3,2,2,3,3,3,3,4,1,5,1,4,2,5,3,5,5
25,1,2,4,2,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,4,3,4,2,3,2,4,4,4,4,3,4,3,4,2,4,2,4,4,3,2,2,2,4,2,4,3,4,4
20,2,1,5,2,4,1,5,1,5,1,5,3,4,3,4,1,1,4,5,5,4,4,1,5,4,4,1,5,1,5,5,4,2,5,1,4,1,5,1,1,1,1,5,1,4,1,4,1,4,5,5,4
15,2,2,1,4,3,4,3,3,1,5,1,5,3,3,4,3,1,3,4,2,4,4,4,3,3,3,3,5,5,3,3,3,2,5,3,5,1,4,3,5,2,3,2,3,4,3,2,3,3,1,3,3
46,2,2,1,2,3,3,3,1,1,4,2,3,4,2,5,1,4,5,4,4,3,5,1,3,1,5,3,4,4,2,5,3,5,2,5,1,2,1,5,1,4,5,5,1,4,3,3,2,5,5,5,3
15,1,1,1,5,2,5,2,2,2,3,4,5,1,4,4,2,2,2,2,2,2,4,1,5,4,5,2,5,2,5,5,1,5,1,5,5,2,2,5,2,2,5,5,4,5,1,5,1,5,5,2,5
18,2,2,2,3,3,3,4,1,1,3,1,3,2,4,3,2,3,2,4,3,2,4,1,4,1,4,1,4,2,4,4,5,4,1,4,3,2,2,3,2,4,3,5,1,5,1,4,1,4,4,4,5
42,1,1,2,4,2,4,2,3,3,4,2,5,3,4,3,3,3,2,2,1,3,2,4,3,2,3,2,3,3,2,3,2,3,5,3,4,1,5,2,3,2,4,5,1,3,1,5,2,4,5,5,4
27,2,1,1,2,2,4,2,2,1,4,2,5,3,4,5,3,4,2,3,2,3,2,1,4,2,4,2,4,1,4,4,3,4,2,5,2,5,2,4,2,4,3,4,2,4,2,3,2,4,4,4,4
17,1,1,5,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,5,5,5
17,2,1,4,2,3,3,3,2,5,3,5,5,5,2,5,4,5,5,5,3,5,2,2,5,2,4,2,5,2,5,3,3,4,1,4,5,5,2,5,1,4,3,2,2,1,1,3,1,4,4,5,2
17,2,1,2,3,2,4,2,2,2,4,3,5,3,3,4,3,4,3,4,2,4,3,3,3,2,4,3,4,3,3,3,3,4,2,5,3,2,3,4,3,2,3,3,3,4,3,4,2,4,2,4,5
60,2,1,3,1,5,1,5,1,5,1,5,1,2,2,5,1,5,4,5,4,5,5,1,5,5,5,5,4,1,4,5,5,5,1,5,2,5,1,5,1,5,4,4,2,4,2,5,1,5,2,5,5
27,2,1,1,3,4,5,3,3,3,5,1,5,4,2,5,3,4,5,4,4,3,4,1,5,1,5,1,5,1,5,5,5,5,4,4,3,2,4,3,2,4,4,4,3,5,4,3,1,5,4,5,2
19,2,1,4,2,4,3,5,2,5,2,5,3,5,2,4,2,4,3,3,3,3,4,1,4,2,4,2,3,1,3,5,4,5,3,3,3,4,3,5,1,5,5,5,2,4,2,5,1,4,4,4,5
20,1,1,1,5,2,5,2,3,1,4,2,5,3,4,3,3,2,2,2,2,4,3,4,3,4,2,3,2,4,3,3,3,3,3,4,2,2,3,3,3,2,4,4,3,5,3,3,2,3,3,4,3
19,1,1,2,3,5,2,5,2,3,2,5,1,1,2,2,3,1,1,1,1,1,3,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,5,4,2,3,1,4,1,5,1,5,4
26,2,1,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,3,1,4,3,5,2,4,4,3,1,4,2,5,1,5,3,5,3,2,5,2,5,1,4,1,2,5,5,4
24,1,1,1,2,3,5,4,1,1,3,4,4,4,3,5,3,4,4,4,4,5,3,4,3,5,4,1,5,3,3,3,2,4,5,4,4,1,4,3,4,2,3,4,2,5,2,5,3,5,4,4,5
19,2,2,1,4,2,4,1,2,1,4,2,5,5,2,5,2,2,4,5,4,3,3,2,4,3,5,2,4,2,3,4,2,4,3,5,4,2,4,5,2,4,4,4,3,4,3,3,2,4,3,4,4
18,2,1,2,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,3,2,3,2,3,5,3,3,3,3,1,5,3,5,3,5,3,5,2,4,5,3,5,4,5,1,4,5,5,5
14,2,1,2,2,2,2,4,1,2,2,2,4,4,3,4,2,3,5,4,4,4,2,4,4,4,2,2,3,1,3,3,2,2,3,5,3,1,5,2,3,2,3,5,2,4,2,4,2,3,4,5,5
25,2,1,2,1,4,2,4,1,1,4,2,3,5,3,2,2,2,2,1,1,2,2,1,5,1,5,2,4,1,2,5,5,5,1,4,1,5,1,2,1,4,4,3,2,1,2,2,1,4,1,4,4
47,1,1,4,1,3,1,2,1,4,4,4,4,4,3,4,3,2,3,4,3,3,3,2,5,2,2,5,4,3,3,1,3,5,4,4,1,3,1,5,1,4,4,5,1,4,1,5,1,4,5,3,5
18,1,1,2,4,2,4,2,4,2,4,2,4,4,3,4,1,2,4,3,3,4,4,2,2,2,4,3,2,4,2,4,3,3,4,3,3,2,3,3,4,2,4,4,4,4,4,3,3,4,3,4,3
23,1,2,2,1,4,2,2,4,5,5,2,5,5,2,5,3,5,5,5,4,4,4,4,4,4,2,3,5,1,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,4,4,1,3,4,4,4
14,3,1,2,2,2,2,2,1,1,2,4,4,5,3,4,2,4,3,4,3,4,3,1,4,2,3,1,4,1,2,2,2,2,4,3,4,1,5,3,5,2,3,4,2,3,2,3,2,4,4,2,2
20,2,1,1,4,2,5,1,2,1,5,1,5,5,2,5,2,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,3,4,2,2,2,2,1,4,2,4,2,5,1,5,3,4,1,5,4,5,4
35,2,2,4,1,5,3,5,1,1,1,4,1,5,2,5,4,4,5,2,2,4,2,1,5,1,5,1,5,1,3,5,5,2,1,5,4,1,1,5,2,5,3,5,1,5,4,5,1,5,5,2,5
34,2,1,4,1,4,2,5,2,5,2,4,2,2,3,4,2,2,3,4,2,2,3,1,5,2,5,1,5,1,5,4,4,4,2,4,1,4,1,5,1,4,4,3,2,4,1,3,2,3,3,5,3
36,2,1,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,5,5,5,5,2,5,5,5,5,1,5,1,5,5,5,4,5,5,1,4,5,5,1,2,5,1,5,5,2,5,1,2,1,5,3
15,1,1,3,3,3,5,2,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,2,3,4,4,4,1,5,4,4,2,3,4,5,5,3,3,2,2,4,4,4
20,1,1,4,3,4,2,4,2,4,2,4,2,1,5,2,3,2,2,2,2,2,2,1,5,1,5,5,5,1,5,5,4,4,5,5,2,1,5,4,3,3,4,5,1,3,1,4,3,4,3,5,4
54,2,1,2,3,4,3,2,2,2,4,2,4,3,4,3,5,1,1,1,1,2,1,2,3,1,3,3,4,3,4,3,5,4,2,5,1,5,5,4,1,4,5,3,3,5,2,5,1,4,2,4,5
47,1,1,2,4,5,2,4,4,4,2,2,3,3,3,4,2,4,2,4,1,2,2,4,4,1,5,1,5,2,5,4,4,2,2,3,4,2,4,3,2,2,3,3,2,4,2,5,2,5,2,5,4
17,1,1,3,5,4,4,3,4,2,5,4,5,5,4,5,3,4,5,5,5,4,4,4,5,4,5,2,5,4,5,5,5,3,2,5,5,2,4,3,3,3,4,3,3,5,3,3,4,3,4,5,3
45,1,1,4,4,4,2,3,2,4,4,5,3,2,4,4,4,1,2,1,1,2,2,1,3,1,5,2,5,2,5,5,5,4,1,5,1,5,1,5,1,5,5,4,1,4,1,5,4,5,1,5,3
32,2,1,2,2,5,2,4,3,2,5,1,2,5,1,5,2,4,4,5,5,4,4,1,4,3,4,1,4,2,5,4,2,4,1,5,1,4,5,5,3,5,5,4,4,2,2,3,2,4,4,2,2
23,2,1,3,1,5,2,5,1,3,3,3,2,3,4,4,3,3,3,4,3,3,3,1,5,2,5,1,2,1,5,5,4,2,4,4,2,3,4,2,3,1,4,3,2,4,1,4,3,4,4,5,3
23,2,1,4,1,4,2,4,1,2,2,5,4,4,2,5,5,1,2,2,1,1,1,2,5,1,5,2,4,1,3,4,5,3,3,4,2,2,3,3,2,3,4,3,2,4,2,4,1,4,3,2,4
14,2,1,1,2,2,5,4,1,1,2,2,5,5,1,5,1,5,5,5,3,5,5,1,3,1,5,2,5,2,4,4,3,4,3,3,4,3,4,5,2,5,4,4,2,5,2,2,1,4,5,4,5
19,1,1,5,2,2,3,2,2,5,5,3,5,4,5,5,2,4,3,3,2,3,3,3,4,3,5,2,4,1,4,4,3,3,5,3,3,1,5,4,4,2,2,4,1,5,1,4,1,5,4,5,4
15,2,1,1,4,2,4,3,5,3,5,2,5,5,3,5,3,2,5,5,5,4,1,2,5,1,5,1,3,1,4,4,3,3,5,3,5,1,5,3,3,3,4,2,3,4,2,4,3,3,3,5,3
49,2,1,3,2,4,4,5,2,4,4,2,2,4,4,4,4,3,2,2,2,4,2,3,4,2,4,4,4,2,3,3,4,2,5,3,4,1,5,3,4,2,2,5,1,4,1,4,2,5,5,5,4
47,2,2,1,5,2,5,1,5,1,4,2,5,5,2,3,1,2,4,3,3,2,5,2,4,1,4,2,5,1,4,4,5,3,4,5,2,1,4,4,1,3,5,3,3,5,2,5,1,5,3,5,5
23,2,1,3,4,4,3,4,1,1,5,1,5,5,4,5,3,4,5,3,1,5,3,1,5,1,5,1,5,1,3,5,5,4,4,5,1,1,2,4,1,3,4,5,4,3,4,2,2,4,4,4,3
19,2,1,1,5,2,5,2,2,1,5,1,4,5,1,5,1,5,4,2,2,4,5,3,2,5,2,3,3,4,2,2,2,4,2,5,3,2,2,4,4,4,4,4,3,5,3,4,1,4,4,4,4
36,1,1,3,2,1,3,5,2,1,5,2,5,4,3,5,3,4,3,3,3,5,3,1,5,4,4,1,4,2,5,4,3,5,2,4,2,4,1,5,1,5,5,5,4,3,2,4,3,4,5,4,4
21,2,1,2,3,4,2,4,1,4,4,4,4,5,1,5,1,1,5,5,4,3,5,1,5,2,5,1,4,1,5,5,3,4,5,2,5,2,5,4,3,2,3,4,2,5,2,4,1,5,4,5,4
21,2,1,3,1,3,1,5,1,1,2,3,5,5,1,5,2,4,5,4,4,5,5,1,5,5,5,1,3,1,5,5,3,3,5,5,5,1,5,4,1,5,5,5,1,5,1,4,1,5,5,5,5
13,1,1,3,4,3,3,3,5,2,5,3,4,5,4,5,1,4,5,5,5,5,5,2,2,4,3,2,3,4,3,3,4,3,3,4,4,3,4,3,3,3,3,4,1,4,1,2,2,4,4,5,3
21,2,1,3,3,3,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,2,5,2,4,4,4,3,1,4,1,4,1,5,3,3,3,2,2,4,3,4,3,4,2,3,4
32,1,1,4,2,5,3,5,1,4,1,5,1,1,3,3,3,2,1,1,1,1,2,3,4,2,4,1,4,2,4,4,5,5,1,5,2,3,1,2,2,5,3,5,2,3,3,3,1,5,2,3,3
33,2,1,4,1,5,2,5,1,5,1,5,2,3,4,4,3,2,3,2,3,3,2,1,5,1,5,1,4,1,1,5,5,3,2,4,2,4,1,4,1,4,3,4,2,5,2,5,1,5,4,4,5
33,1,1,3,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,2,2,4,4,2,4,2,4,2,4,2,4,4,3,4,2,4,2,4,2,4,4,4,2,4,3,4,2,4,4,4,4
16,1,1,2,2,2,3,2,2,5,3,3,5,3,3,4,1,2,4,3,3,4,5,4,3,4,4,3,4,4,3,3,2,2,2,3,4,3,3,4,4,3,3,5,2,5,2,2,1,4,3,4,3
21,2,1,3,2,2,2,4,3,4,4,4,4,4,3,5,2,2,3,4,4,3,4,3,1,1,4,3,3,4,3,4,4,3,3,5,3,2,5,4,3,2,4,4,1,5,1,4,1,5,4,4,4
31,2,1,3,3,5,2,5,1,2,3,3,2,1,5,2,1,1,2,1,1,3,3,1,3,1,4,2,3,2,3,3,3,3,1,2,1,5,2,4,3,2,4,3,4,3,3,3,4,5,1,4,5
17,1,1,1,5,1,5,1,4,1,5,3,5,4,3,5,1,4,3,1,1,1,1,1,5,1,5,1,3,1,5,4,4,1,4,5,1,1,5,1,3,1,3,5,1,5,1,5,1,4,5,5,5
26,2,1,2,3,3,3,3,2,2,3,2,5,3,3,3,3,3,3,3,2,3,2,1,4,2,5,1,4,2,3,4,4,3,2,4,3,4,2,5,3,4,4,5,2,2,2,2,4,4,4,4,2
34,1,1,4,2,3,2,4,1,2,3,3,3,5,4,5,1,4,4,3,3,3,5,1,5,1,5,1,5,1,5,5,5,4,5,5,3,1,4,2,2,4,5,5,1,5,1,5,1,5,5,5,5
21,2,1,1,1,5,3,5,1,1,5,1,3,1,3,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,5,3,3,5,1,5,1,5,1,5,1,5,5,3,1,4,1,4,5,5,2,5,4
26,2,1,5,3,5,2,3,1,5,2,4,4,1,5,1,5,5,1,2,2,5,1,4,5,1,2,4,4,2,5,4,4,4,3,4,3,4,3,3,3,4,4,4,2,4,2,4,1,5,3,4,4
22,2,1,2,3,3,4,4,2,3,2,4,4,1,4,2,4,1,1,2,1,1,1,2,3,4,3,3,3,3,4,2,5,5,5,4,3,2,2,3,3,2,3,5,3,4,4,4,2,3,4,4,3
19,2,1,1,4,2,2,2,3,1,3,2,5,5,2,5,1,4,4,4,4,3,5,1,4,2,5,2,5,1,3,4,3,2,2,4,3,2,3,4,2,2,2,4,3,4,1,1,2,3,3,4,3
19,1,1,4,4,2,4,2,4,2,5,1,4,2,4,2,3,3,3,4,3,4,3,3,4,5,4,3,3,3,4,3,3,3,3,3,5,1,4,1,3,2,2,4,2,4,2,3,2,4,4,4,3
21,2,1,4,1,5,1,5,1,5,5,3,5,3,4,3,3,2,4,4,2,4,2,2,5,3,5,1,3,1,5,5,4,3,5,4,4,1,4,3,2,3,4,4,1,5,1,5,1,5,4,5,5
49,1,1,3,1,5,3,4,1,4,2,4,2,3,5,3,1,2,1,1,1,1,1,1,5,1,4,1,3,1,5,4,5,4,3,5,1,5,1,4,3,5,5,5,1,4,1,4,1,4,2,5,5
18,2,1,3,3,4,4,5,2,5,4,3,4,4,3,4,2,2,3,3,2,2,3,2,5,2,5,2,5,2,5,5,5,4,2,5,2,4,3,4,2,4,4,3,1,5,1,5,1,5,3,5,5
32,2,1,1,3,2,4,1,1,1,4,3,4,4,3,4,3,4,4,4,4,4,2,3,3,2,4,1,5,1,4,4,3,4,3,3,4,1,4,1,2,4,2,2,3,3,3,4,4,4,2,3,2
60,2,1,1,4,5,3,5,3,3,5,1,4,4,3,4,1,5,4,2,2,4,2,1,5,1,5,1,4,1,5,5,5,2,4,5,4,1,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
22,2,1,1,3,2,4,3,2,1,4,2,4,5,2,5,1,4,5,4,4,3,4,1,4,4,4,1,5,2,4,5,5,2,4,4,3,1,5,3,3,2,3,5,3,5,3,3,1,5,5,4,3
24,1,1,1,5,1,5,2,5,1,5,1,5,2,5,2,3,2,2,2,3,1,3,1,2,1,1,1,2,5,3,1,3,4,1,4,1,2,2,5,3,4,4,4,1,3,4,3,1,5,4,2,4
16,2,2,2,2,3,3,3,1,2,2,2,5,3,4,4,4,1,2,2,2,2,2,1,5,2,5,3,5,1,4,3,3,3,2,3,4,2,4,5,3,4,5,4,1,4,1,4,1,4,2,5,5
20,1,1,2,4,2,3,3,2,2,4,4,4,4,3,4,2,3,3,4,4,3,3,3,3,3,2,4,3,3,3,4,3,3,3,3,3,2,4,2,4,2,4,4,1,4,1,4,1,4,3,4,4
47,2,1,3,2,3,3,3,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,1,4,1,4,2,4,2,3,4,4,2,2,3,2,3,2,3,2,3,3,3,2,4,2,5,1,4,2,3,4
15,2,1,2,1,2,2,3,2,2,5,2,4,5,4,4,2,5,2,4,4,5,3,2,3,5,3,2,3,2,3,3,3,4,5,4,4,1,4,2,4,4,3,3,2,3,3,2,3,5,4,4,3
17,2,1,1,3,3,5,3,5,1,5,1,5,4,5,5,1,2,3,5,4,4,4,4,2,1,2,4,4,3,2,2,3,3,5,4,1,1,1,3,3,1,2,1,1,3,5,1,5,3,1,5,1
13,2,3,5,1,5,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,1,5
16,2,1,4,4,1,5,2,4,1,5,4,5,5,1,5,4,4,2,4,3,5,4,2,5,2,2,4,5,2,4,2,3,5,4,2,3,1,5,5,3,4,5,4,2,5,3,4,2,5,2,5,3
23,2,1,1,4,2,2,4,4,4,5,1,5,3,5,2,3,2,2,5,4,2,3,2,3,1,2,3,3,2,3,2,4,4,1,2,4,3,3,1,3,1,4,2,4,3,3,4,2,3,3,5,3
30,2,1,5,2,5,1,5,1,5,1,5,2,3,4,3,4,1,1,3,2,2,1,1,5,1,5,1,5,1,5,5,5,4,4,3,4,3,5,2,1,3,2,3,2,4,1,5,1,4,3,4,5
17,2,1,3,1,4,1,5,1,3,1,5,2,4,2,5,2,2,2,4,2,5,2,2,5,5,4,1,5,2,5,4,4,1,5,4,4,1,5,3,4,4,4,3,2,5,1,5,1,4,2,5,5
20,2,1,2,3,3,4,3,3,2,4,2,4,4,3,4,3,2,3,3,3,4,3,1,4,2,4,1,4,2,4,5,4,4,2,3,3,3,3,3,2,4,3,3,2,4,2,3,2,3,2,4,3
25,1,1,2,2,2,4,4,2,1,2,4,5,4,3,5,2,1,4,2,4,4,4,2,4,2,4,2,2,2,2,4,2,4,2,4,4,1,2,4,2,4,3,5,1,5,1,4,1,4,5,5,4
27,1,1,4,1,4,1,4,1,4,1,5,1,4,2,3,4,4,3,4,4,4,2,4,3,3,2,4,2,4,1,4,4,4,3,4,3,3,3,3,3,2,4,5,1,5,1,5,1,4,5,4,5
25,2,1,1,4,2,5,2,4,1,5,2,4,4,3,4,1,3,2,3,2,2,4,2,4,1,4,3,2,2,4,3,3,5,1,5,1,5,1,5,1,5,5,5,2,4,2,4,2,4,4,5,3
21,2,1,3,2,3,2,4,3,2,4,2,4,4,2,4,4,2,3,2,2,3,2,1,5,1,5,1,5,1,5,5,3,4,4,4,2,4,2,4,1,4,3,3,3,4,4,2,3,4,2,3,2
59,1,1,1,4,4,2,4,2,3,2,4,2,1,4,2,5,2,2,1,1,3,1,1,4,1,4,1,5,1,4,4,3,3,1,2,1,3,2,3,3,4,4,5,3,5,1,5,1,3,5,4,5
30,2,1,4,2,5,2,4,1,4,1,4,2,2,3,2,5,2,2,1,2,1,1,2,5,1,4,1,3,1,4,3,4,4,2,5,1,4,1,3,1,3,4,5,1,5,1,5,1,5,5,4,5
37,2,1,5,1,5,1,5,1,3,4,5,1,1,1,3,4,5,5,5,4,5,1,3,3,3,2,5,1,5,2,2,5,1,4,1,4,2,5,2,1,3,5,4,4,1,4,5,5,5,4,5,5
27,2,1,2,4,3,4,3,4,2,3,2,3,5,3,5,2,2,3,4,4,4,5,2,4,2,4,2,4,2,5,4,4,3,4,3,4,3,2,3,2,3,4,4,2,4,2,3,1,3,3,4,4
41,2,2,2,3,3,4,2,3,2,5,1,5,4,2,4,3,2,4,4,4,4,2,1,4,2,4,2,4,3,4,4,3,5,1,5,1,3,1,5,1,5,5,3,3,3,4,4,3,4,3,4,3
18,1,1,4,2,5,2,3,3,4,2,5,4,3,4,3,2,5,1,3,1,4,2,4,3,5,2,4,2,3,3,3,5,3,4,4,3,2,4,2,3,2,3,3,2,5,2,3,1,4,4,4,5
21,2,1,3,2,3,2,4,2,4,2,4,3,5,2,5,2,3,4,4,4,4,2,2,4,3,5,2,4,2,4,4,4,2,4,4,5,2,4,3,3,2,3,3,2,4,2,4,2,3,4,4,4
15,2,1,5,3,5,4,3,2,3,5,1,1,3,5,5,2,3,1,3,2,3,1,1,3,1,5,1,5,2,5,5,5,4,4,5,2,3,1,5,3,5,5,4,1,4,2,4,1,5,4,3,4
18,2,1,2,1,1,4,4,1,1,3,4,5,5,1,4,4,4,4,5,5,5,4,3,2,3,3,3,3,3,2,4,3,3,5,4,3,3,3,3,2,3,4,5,1,5,2,5,2,4,5,5,5
20,1,2,4,1,5,2,5,1,4,3,3,2,1,4,4,3,4,1,2,1,2,2,2,5,3,5,3,3,1,4,4,4,3,2,4,4,3,2,3,2,2,3,4,2,4,2,5,1,4,4,5,4
